iter	Passed	Remaining
400	20202	30178
401	20245	30115
402	20283	30048
403	20328	29989
404	20368	29924
405	20404	29852
406	20443	29786
407	20482	29720
408	20525	29659
409	20563	29591
410	20613	29541
411	20654	29478
412	20701	29423
413	20746	29365
414	20784	29299
415	20825	29236
416	20859	29163
417	20896	29094
418	20938	29034
419	20980	28973
420	21027	28918
421	21074	28864
422	21121	28810
423	21160	28746
424	21201	28684
425	21244	28625
426	21285	28563
427	21325	28500
428	21368	28441
429	21410	28381
430	21452	28320
431	21491	28257
432	21532	28196
433	21569	28129
434	21609	28067
435	21649	28004
436	21690	27944
437	21726	27877
438	21764	27812
439	21793	27737
440	21829	27671
441	21881	27624
442	21925	27567
443	21981	27526
444	22025	27470
445	22065	27408
446	22107	27350
447	22144	27285
448	22184	27224
449	22224	27163
450	22267	27106
451	22310	27049
452	22353	26992
453	22394	26932
454	22442	26881
455	22482	26820
456	22526	26766
457	22568	26707
458	22607	26646
459	22647	26585
460	22683	26521
461	22723	26461
462	22763	26402
463	22825	26367
464	22870	26313
465	22933	26280
466	23003	26254
467	23053	26206
468	23106	26160
469	23157	26113
470	23220	26079
471	23330	26098
472	23385	26055
473	23442	26013
474	23493	25966
475	23546	25921
476	23610	25887
477	23700	25881
478	23753	25836
479	23813	25797
480	23873	25759
481	23949	25737
482	24008	25699
483	24068	25660
484	24109	25601
485	24150	25541
486	24191	25482
487	24229	25420
488	24275	25367
489	24325	25318
490	24371	25265
491	24416	25210
492	24466	25161
493	24516	25111
494	24567	25063
495	24613	25010
496	24656	24953
497	24698	24897
498	24754	24853
499	24851	24851
500	24899	24800
501	24969	24770
502	25095	24796
503	25208	24808
504	25279	24778
505	25349	24748
506	25447	24744
507	25516	24713
508	25561	24658
509	25606	24602
510	25648	24544
511	25693	24489
512	25735	24430
513	25783	24378
514	25832	24328
515	25882	24277
516	25936	24230
517	26003	24196
518	26107	24195
519	26238	24219
520	26301	24181
521	26397	24172
522	26545	24210
523	26670	24227
524	26780	24229
525	26852	24197
526	26993	24227
527	27243	24354
528	27411	24405
529	27596	24472
530	27809	24562
531	28058	24683
532	28237	24741
533	28465	24840
534	28639	24892
535	28782	24916
536	28901	24918
537	29017	24918
538	29139	24922
539	29298	24957
540	29357	24907
541	29615	25025
542	29793	25074
543	29890	25054
544	29942	24997
545	29994	24940
546	30091	24919
547	30172	24886
548	30262	24860
549	30324	24810
550	30395	24768
551	30452	24715
552	30513	24664
553	30573	24613
554	30662	24585
555	30784	24583
556	30895	24572
557	30980	24539
558	31057	24501
559	31118	24450
560	31192	24409
561	31314	24405
562	31437	24402
563	31561	24398
564	31659	24374
565	31736	24335
566	31822	24301
567	31892	24256
568	31969	24216
569	32034	24166
570	32097	24115
571	32160	24064
572	32207	24000
573	32263	23944
574	32319	23888
575	32438	23878
576	32498	23824
577	32552	23766
578	32598	23702
579	32646	23640
580	32693	23577
581	32736	23511
582	32780	23446
583	32831	23387
584	32891	23333
585	32943	23274
586	32997	23216
587	33051	23158
588	33103	23099
589	33147	23034
590	33201	22977
591	33246	22913
592	33297	22853
593	33342	22789
594	33389	22727
595	33433	22663
596	33476	22597
597	33514	22530
598	33557	22465
599	33617	22411
600	33669	22352
601	33730	22300
602	33779	22239
603	33824	22176
604	33874	22116
605	33927	22058
606	33994	22009
607	34048	21952
608	34100	21893
609	34157	21838
610	34215	21783
611	34272	21728
612	34322	21668
613	34371	21608
614	34415	21544
615	34470	21488
616	34523	21430
617	34583	21376
618	34657	21331
619	34720	21280
620	34785	21229
621	34849	21178
622	34911	21126
623	34964	21068
624	35015	21009
625	35082	20959
626	35160	20917
627	35280	20898
628	35346	20847
629	35398	20789
630	35452	20731
631	35501	20671
632	35548	20610
633	35590	20545
634	35638	20485
635	35690	20426
636	35734	20363
637	35793	20309
638	35846	20251
639	35909	20199
640	35962	20141
641	36005	20077
642	36049	20014
643	36093	19952
644	36134	19888
645	36180	19826
646	36222	19762
647	36271	19702
648	36331	19649
649	36380	19589
650	36438	19534
651	36489	19476
652	36541	19418
653	36599	19363
654	36649	19303
655	36694	19242
656	36744	19183
657	36801	19127
658	36872	19079
659	36940	19030
660	37021	18986
661	37071	18927
662	37161	18888
663	37219	18834
664	37289	18784
665	37343	18727
666	37424	18684
667	37520	18647
668	37587	18597
669	37703	18570
670	37794	18531
671	37872	18485
672	37964	18446
673	38033	18396
